colour	x	y	group	key	clickSelects	showSelected1	PANEL
#666666	16	21.3982456140351	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	17	20.9693103448276	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	18	20.2205263157895	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	19	21.9	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	20	22.7378947368421	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	21	22.97	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	22	22.97	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	23	22.97	8	Friday 02 Jun 2017	Friday 02 Jun 2017	Friday 02 Jun 2017	1
#666666	0	24.44	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	1	24.6721052631579	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	2	24.7948275862069	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	3	24.9214035087719	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	4	24.93	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	5	24.93	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	6	24.0091379310345	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	7	23.829649122807	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	8	23.8486206896552	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	9	23.9242105263158	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	10	24.0429310344828	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	11	24.0617543859649	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	12	24.3048275862069	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	13	24.3626315789474	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	14	24.7610344827586	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	15	24.8440350877193	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
#666666	16	24.6343103448276	9	Friday 02 Mar 2018	Friday 02 Mar 2018	Friday 02 Mar 2018	1
