colour	x	y	showSelected1	PANEL	group
#8DD3C7	1482253200	0	Wunderground	2	1
#8DD3C7	1482339600	0	Wunderground	2	1
#8DD3C7	1482426000	0.999999999999998	Wunderground	2	1
#8DD3C7	1482512400	1.83333333333333	Wunderground	2	1
#8DD3C7	1482598800	-4	Wunderground	2	1
#8DD3C7	1482685200	-4	Wunderground	2	1
#8DD3C7	1482771600	2.11111111111111	Wunderground	2	1
#8DD3C7	1482858000	-4	Wunderground	2	1
#8DD3C7	1482944400	-1.33333333333333	Wunderground	2	1
#8DD3C7	1483030800	-3	Wunderground	2	1
#8DD3C7	1483117200	-10	Wunderground	2	1
#8DD3C7	1483203600	-5	Wunderground	2	1
#8DD3C7	1483290000	-4.5	Wunderground	2	1
#8DD3C7	1483376400	-1	Wunderground	2	1
#8DD3C7	1483462800	-2	Wunderground	2	1
#8DD3C7	1483549200	-7	Wunderground	2	1
#8DD3C7	1483635600	-10	Wunderground	2	1
#8DD3C7	1483722000	-13.8888888888889	Wunderground	2	1
#8DD3C7	1483808400	-16.3333333333333	Wunderground	2	1
#8DD3C7	1483894800	-10.5	Wunderground	2	1
#8DD3C7	1483981200	-3	Wunderground	2	1
#8DD3C7	1484067600	4	Wunderground	2	1
#8DD3C7	1484154000	4	Wunderground	2	1
#8DD3C7	1484240400	-5	Wunderground	2	1
#8DD3C7	1484326800	-13.5	Wunderground	2	1
#8DD3C7	1484413200	-8.88888888888889	Wunderground	2	1
#8DD3C7	1484499600	0	Wunderground	2	1
#8DD3C7	1484586000	-3	Wunderground	2	1
#8DD3C7	1484672400	-3.33333333333333	Wunderground	2	1
#8DD3C7	1484758800	0.999999999999998	Wunderground	2	1
#8DD3C7	1484845200	0.999999999999998	Wunderground	2	1
#8DD3C7	1484931600	0.999999999999998	Wunderground	2	1
#8DD3C7	1485018000	0.999999999999998	Wunderground	2	1
#8DD3C7	1485104400	-2	Wunderground	2	1
#8DD3C7	1485190800	-3	Wunderground	2	1
#8DD3C7	1485277200	-2	Wunderground	2	1
#8DD3C7	1485363600	0.999999999999998	Wunderground	2	1
#8DD3C7	1485450000	-1.66666666666667	Wunderground	2	1
#8DD3C7	1485536400	-0.555555555555556	Wunderground	2	1
#8DD3C7	1485622800	-2.11111111111111	Wunderground	2	1
#8DD3C7	1485709200	-10	Wunderground	2	1
#8DD3C7	1485795600	-11.8333333333333	Wunderground	2	1
#8DD3C7	1485882000	-11.6666666666667	Wunderground	2	1
#8DD3C7	1485968400	-8	Wunderground	2	1
#8DD3C7	1486054800	-7	Wunderground	2	1
#8DD3C7	1486141200	-6.5	Wunderground	2	1
#8DD3C7	1486227600	-1.11111111111111	Wunderground	2	1
#8DD3C7	1486314000	-10	Wunderground	2	1
#8DD3C7	1486400400	-10	Wunderground	2	1
#8DD3C7	1486486800	0	Wunderground	2	1
#8DD3C7	1486573200	-13	Wunderground	2	1
#8DD3C7	1486659600	-14	Wunderground	2	1
#8DD3C7	1486746000	-13	Wunderground	2	1
#8DD3C7	1486832400	-8	Wunderground	2	1
#8DD3C7	1486918800	-4.44444444444444	Wunderground	2	1
#8DD3C7	1487005200	-5	Wunderground	2	1
#8DD3C7	1487091600	-5	Wunderground	2	1
#8DD3C7	1487178000	-4	Wunderground	2	1
#8DD3C7	1487264400	-5	Wunderground	2	1
#8DD3C7	1487350800	0	Wunderground	2	1
#8DD3C7	1487437200	4	Wunderground	2	1
#8DD3C7	1487523600	-1.83333333333333	Wunderground	2	1
#8DD3C7	1487610000	0	Wunderground	2	1
#8DD3C7	1487696400	2	Wunderground	2	1
#8DD3C7	1487782800	7.22222222222222	Wunderground	2	1
#8DD3C7	1487869200	2.22222222222222	Wunderground	2	1
#8DD3C7	1487955600	2	Wunderground	2	1
#8DD3C7	1488042000	-2	Wunderground	2	1
#8DD3C7	1488128400	2	Wunderground	2	1
#8DD3C7	1488214800	3	Wunderground	2	1
#8DD3C7	1488301200	4	Wunderground	2	1
#8DD3C7	1488387600	-7	Wunderground	2	1
#8DD3C7	1488474000	-11	Wunderground	2	1
#8DD3C7	1488560400	-14.4444444444444	Wunderground	2	1
#8DD3C7	1488646800	-12	Wunderground	2	1
#8DD3C7	1488733200	-3	Wunderground	2	1
#8DD3C7	1488819600	3.16666666666667	Wunderground	2	1
#8DD3C7	1488906000	5	Wunderground	2	1
#8DD3C7	1488992400	-1.38888888888889	Wunderground	2	1
#8DD3C7	1489078800	-8	Wunderground	2	1
#8DD3C7	1489165200	-18	Wunderground	2	1
#8DD3C7	1489251600	-14	Wunderground	2	1
#8DD3C7	1489338000	-12	Wunderground	2	1
#8DD3C7	1489424400	-9	Wunderground	2	1
#8DD3C7	1489510800	-6	Wunderground	2	1
#8DD3C7	1489597200	-7	Wunderground	2	1
#8DD3C7	1489683600	-5	Wunderground	2	1
#8DD3C7	1489770000	-4	Wunderground	2	1
#8DD3C7	1489856400	-1.83333333333333	Wunderground	2	1
#8DD3C7	1489942800	2	Wunderground	2	1
#8DD3C7	1490029200	2	Wunderground	2	1
#8DD3C7	1490115600	-8.33333333333333	Wunderground	2	1
#8DD3C7	1490202000	-4.5	Wunderground	2	1
#8DD3C7	1490288400	-1	Wunderground	2	1
#8DD3C7	1490374800	-3	Wunderground	2	1
#8DD3C7	1490461200	-0.277777777777778	Wunderground	2	1
#8DD3C7	1490547600	3	Wunderground	2	1
#8DD3C7	1490634000	2	Wunderground	2	1
#8DD3C7	1490720400	3	Wunderground	2	1
#8DD3C7	1490806800	2	Wunderground	2	1
#8DD3C7	1490893200	1.16666666666667	Wunderground	2	1
#8DD3C7	1490979600	1.30555555555556	Wunderground	2	1
#8DD3C7	1491066000	2.25	Wunderground	2	1
#8DD3C7	1491152400	3.88888888888889	Wunderground	2	1
#8DD3C7	1491238800	4.38888888888889	Wunderground	2	1
#8DD3C7	1491325200	5.16666666666667	Wunderground	2	1
#8DD3C7	1491411600	3.5	Wunderground	2	1
#8DD3C7	1491498000	2.88888888888889	Wunderground	2	1
