colour	x	y	key	group	clickSelects	showSelected1	PANEL
#8DD3C7	14	16.1111111111111	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	14	16	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	15	17	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	16	17	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	17	16.6666666666667	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	17	17	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	18	17	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	19	16	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	20	14.4444444444444	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	20	15	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	21	14	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	22	13	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	23	12.2222222222222	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	23	12	Friday 01 Sep 2017	5	Friday 01 Sep 2017	Friday 01 Sep 2017	2
#8DD3C7	0	5	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	1	4.44444444444444	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	1	5	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	1	5	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	2	5	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	3	5	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	4	4.44444444444444	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	4	5	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	5	5	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	6	5	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	6	5	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	7	5	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	7	5	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	8	5	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	9	5	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	10	5.55555555555556	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	10	6	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	11	6	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	12	5	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	13	3.88888888888889	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	13	4	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	14	4	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	15	3	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	15	4	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	16	3.33333333333333	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	16	3	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	17	3	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	18	3	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	18	3	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	18	3	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	19	2.22222222222222	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	19	3	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	20	2	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	21	2	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	22	2.22222222222222	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	22	2	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	23	2	Friday 02 Dec 2016	6	Friday 02 Dec 2016	Friday 02 Dec 2016	2
#8DD3C7	1	-7.22222222222222	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	2	-8.61111111111111	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	4	-11.1111111111111	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	5	-12.7222222222222	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	6	-14.3888888888889	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	7	-15.5555555555556	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	8	-15.5	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
#8DD3C7	9	-16.1111111111111	Friday 02 Feb 2018	7	Friday 02 Feb 2018	Friday 02 Feb 2018	2
