x	y	label	key	clickSelects	showSelected1	PANEL	group
23	-9.88888888888889	Monday 18 Dec 2017	Monday 18 Dec 2017	Monday 18 Dec 2017	Monday 18 Dec 2017	2	194
22	2	Tuesday 19 Dec 2017	Tuesday 19 Dec 2017	Tuesday 19 Dec 2017	Tuesday 19 Dec 2017	2	690
23	-10.7222222222222	Wednesday 20 Dec 2017	Wednesday 20 Dec 2017	Wednesday 20 Dec 2017	Wednesday 20 Dec 2017	2	818
23	-12.2777777777778	Thursday 21 Dec 2017	Thursday 21 Dec 2017	Thursday 21 Dec 2017	Thursday 21 Dec 2017	2	575
23	-11.7777777777778	Friday 22 Dec 2017	Friday 22 Dec 2017	Friday 22 Dec 2017	Friday 22 Dec 2017	2	87
23	-6.27777777777778	Saturday 23 Dec 2017	Saturday 23 Dec 2017	Saturday 23 Dec 2017	Saturday 23 Dec 2017	2	337
23	-7.61111111111111	Sunday 24 Dec 2017	Sunday 24 Dec 2017	Sunday 24 Dec 2017	Sunday 24 Dec 2017	2	464
23	-6.72222222222222	Monday 25 Dec 2017	Monday 25 Dec 2017	Monday 25 Dec 2017	Monday 25 Dec 2017	2	222
23	-16.2222222222222	Tuesday 26 Dec 2017	Tuesday 26 Dec 2017	Tuesday 26 Dec 2017	Tuesday 26 Dec 2017	2	718
23	-22.2777777777778	Wednesday 27 Dec 2017	Wednesday 27 Dec 2017	Wednesday 27 Dec 2017	Wednesday 27 Dec 2017	2	846
23	-21.7777777777778	Thursday 28 Dec 2017	Thursday 28 Dec 2017	Thursday 28 Dec 2017	Thursday 28 Dec 2017	2	603
22	-19.3888888888889	Friday 29 Dec 2017	Friday 29 Dec 2017	Friday 29 Dec 2017	Friday 29 Dec 2017	2	115
22	-18.8888888888889	Saturday 30 Dec 2017	Saturday 30 Dec 2017	Saturday 30 Dec 2017	Saturday 30 Dec 2017	2	365
22	-21.6666666666667	Sunday 31 Dec 2017	Sunday 31 Dec 2017	Sunday 31 Dec 2017	Sunday 31 Dec 2017	2	491
22	-20.3888888888889	Monday 01 Jan 2018	Monday 01 Jan 2018	Monday 01 Jan 2018	Monday 01 Jan 2018	2	126
23	-15.7222222222222	Tuesday 02 Jan 2018	Tuesday 02 Jan 2018	Tuesday 02 Jan 2018	Tuesday 02 Jan 2018	2	622
13	-9	Wednesday 03 Jan 2018	Wednesday 03 Jan 2018	Wednesday 03 Jan 2018	Wednesday 03 Jan 2018	2	750
23	-9.11111111111111	Thursday 04 Jan 2018	Thursday 04 Jan 2018	Thursday 04 Jan 2018	Thursday 04 Jan 2018	2	508
23	-21.3888888888889	Friday 05 Jan 2018	Friday 05 Jan 2018	Friday 05 Jan 2018	Friday 05 Jan 2018	2	20
